linkToSalesperson_assoc_name,zip,phone,custNo,@ID,address,name,state,address_2,customer,linkToPymtTerms_assoc_desc,taxCode,contact,city,desc
Brian Thompson,50010,5152924043,66900,66900,2622 Stange Rd,LEEDZ SALON,IA,,"LEEDZ SALON; 2622 Stange Rd; Ames, IA 50010",NET 30 DAYS,,,Ames,
,33928,(239) 278-4245,66950,66950,3300 Palm Ave,LEE'S DESIGNS LLC,FL,,"LEE'S DESIGNS LLC; 3300 Palm Ave; Ft Myers, FL 33928",NET 30 DAYS,,,Ft Myers,
,7652,(201) 262-0555 x225,66850,66850,140 Rte. 17 N,LEE MYLES TRANSMISSIONS,NJ,,"LEE MYLES TRANSMISSIONS; 140 Rte. 17 N; Paramus, NJ 7652",NET 30 DAYS,,,Paramus,
Kent Reed,50703,563-650-6111,4666,4666,712 SYCAMORE,LEDERMAN BROTHERS PROPERTY MANAGMENT,IA,,"LEDERMAN BROTHERS PROPERTY MANAGMENT; 712 SYCAMORE; WATERLOO, IA 50703",NET 30 DAYS,,,WATERLOO,
Brian Thompson,50309,280-6511,3153,3153,110 SW 5TH STREET,LEDERMAN BAIL BONDS,IA,,"LEDERMAN BAIL BONDS; 110 SW 5TH STREET; DES MOINES, IA 50309",NET 30 DAYS,,Jacob Lederman,DES MOINES,
,50322,313-0668,2672,2672,3180 100TH ST,LEBEDA MATRESS,IA,,"LEBEDA MATRESS; 3180 100TH ST; URBANDALE, IA 50322",NET 30 DAYS,,Dave,URBANDALE,
,51315,287-5555,2671,2671,1130 ARMY POST RD.,LEBEDA MATRESS,IA,,"LEBEDA MATRESS; 1130 ARMY POST RD.; DES MOINES, IA 51315",NET 30 DAYS,,Dave,DES MOINES,
,33157,(800) 700-0657,66800,66800,"9000 SW 152nd St, Ste 206","LEASING EXPERTS, THE",FL,,"LEASING EXPERTS, THE; 9000 SW 152nd St, Ste 206; Miami, FL 33157",NET 30 DAYS,,,Miami,
,67209,(316) 946-2000,66750,66750,One Learjet Way,LEARJET INC.,KS,,"LEARJET INC.; One Learjet Way; Wichita, KS 67209",NET 30 DAYS,,,Wichita,
,33183,(305) 387-5840,66700,66700,14453 SW 84th St,LE SANTE INTERNATIONAL,FL,,"LE SANTE INTERNATIONAL; 14453 SW 84th St; Miami, FL 33183",NET 30 DAYS,,,Miami,
,50309,(515) 875-4686,66650,66650,400 Locust St. Ste 820,"LCS DEVELOPMENT, LLC",IA,,"LCS DEVELOPMENT, LLC; 400 Locust St. Ste 820; Des Moines, IA 50309",NET 30 DAYS,,,Des Moines,
,29615,864 360 2090,3510,3510,308 MUDDY FORD ROAD,LC INDUSTRIES,SC,,"LC INDUSTRIES; 308 MUDDY FORD ROAD; GREENVILLE, SC 29615",NET 30 DAYS,,Len Hall,GREENVILLE,
Joe Phillips,50280,,4561,4561,PO BOX 461,LC CLINIC,IA,,"LC CLINIC; PO BOX 461; STUART, IA 50280",NET 30 DAYS,,,STUART,
Joe Phillips,50280,,4560,4560,PO BOX 461,LC CLINIC,IA,,"LC CLINIC; PO BOX 461; STUART, IA 50280",NET 30 DAYS,,Briana Wolfe,STUART,
,80132,719-481-2602,66600,66600,397 Raspberry Ln.,LB & ASSOCIATES,CO,P.O. Box 2068,"LB & ASSOCIATES; 397 Raspberry Ln.; P.O. Box 2068; Monument, CO 80132",NET 30 DAYS,,,Monument,
Joe Phillips,50023,,5778,5778,1975 N ANKENY BLVD,LIFESTREAM CHIROPRACTIC,IA,SUITE 112,"LIFESTREAM CHIROPRACTIC; 1975 N ANKENY BLVD; SUITE 112; ANKENY, IA 50023",NET 30 DAYS,,Joe O'Tool,ANKENY,
,50322,,5993,5993,7501 HICKMAN RD,LIFE STORAGE,IA,,"LIFE STORAGE; 7501 HICKMAN RD; URBANDALE, IA 50322",NET 30 DAYS,,,URBANDALE,
Ryan Wolff,50309,515-309-4825,4714,4714,431 E. LOCUST,LIFE SERVE BLOOD CENTER - TERRUS,IA,,"LIFE SERVE BLOOD CENTER - TERRUS; 431 E. LOCUST; DES MOINES, IA 50309",NET 30 DAYS,,,DES MOINES,
,50325,515-770-5700,2341,2341,8816 SWANSON BLVD.,LIFE LASER,IA,,"LIFE LASER; 8816 SWANSON BLVD.; CLIVE, IA 50325",NET 10 DAYS,,,CLIVE,
,52556,(515) 472-9839,67600,67600,PO Box 744,LIBERTYVILLE SAVINGS BANK,IA,,"LIBERTYVILLE SAVINGS BANK; PO Box 744; Fairfield, IA 52556",NET 30 DAYS,,,Fairfield,
,23462,(800) 790-3863 / (75,67550,67550,4575 Bonney Rd.,LIBERTY TAX SERVICES,VA,,"LIBERTY TAX SERVICES; 4575 Bonney Rd.; Virginia Beach, VA 23462",NET 30 DAYS,,Oliver Dimalanta,Virginia Beach,
,2116,(617) 357-9500 x4445,67500,67500,175 Berkeley St.,LIBERTY MUTUAL INSURANCE COMPA,MA,,"LIBERTY MUTUAL INSURANCE COMPA; 175 Berkeley St.; Boston, MA 2116",NET 30 DAYS,,,Boston,
,50265,515-222-1144,2356,2356,5070 MILLS CIVIC PARKWAY,LIBERTY BANK,IA,,"LIBERTY BANK; 5070 MILLS CIVIC PARKWAY; WEST DES MOINES, IA 50265",1% 10th of month net eom,,Bill,WEST DES MOINES,
,50322,515-254-9000,2291,2291,3800 100 STREET,LIBERTY BANK,IA,,"LIBERTY BANK; 3800 100 STREET; URBANDALE, IA 50322",1% 10th of month net eom,,Kyle Jordan,URBANDALE,
,50317,,67460,67460,2742 HUBBELL AVE,LIBERTY BANK,IA,,"LIBERTY BANK; 2742 HUBBELL AVE; DES MOINES, IA 50317",NET 30 DAYS,,,DES MOINES,
,50266,(515) 999-9100,67450,67450,6400 Westown Parkway,LIBERTY BANK,IA,,"LIBERTY BANK; 6400 Westown Parkway; West Des Moines, IA 50266",NET 30 DAYS,,,West Des Moines,
,50325,515-223-8484,67445,67445,13523 UNIVERSITY AVE,LIBERTY BANK,IA,,"LIBERTY BANK; 13523 UNIVERSITY AVE; CLIVE, IA 50325",NET 30 DAYS,,,CLIVE,
,50309,,3245,3245,216 COURT AVE.,LIAR'S CLUB,IA,,"LIAR'S CLUB; 216 COURT AVE.; DES MOINES, IA 50309",NET 30 DAYS,,Janelle,DES MOINES,
Brian Thompson,50023,964.5170,3131,3131,VERIZON WIRELESS,LEYDENS CELLULAR,IA,313 S ANKENY BLVD.,"LEYDENS CELLULAR; VERIZON WIRELESS; 313 S ANKENY BLVD.; ANKENY, IA 50023",NET 30 DAYS,,,ANKENY,
Brian Thompson,50321,515-243-7179,2359,2359,2500 BELL AVENUE,LEWIS SYSTEMS,IA,,"LEWIS SYSTEMS; 2500 BELL AVENUE; DES MOINES, IA 50321",NET 30 DAYS,,William Pryor,DES MOINES,
,80222,(303) 759-5440,67400,67400,1400 South Colorado Blvd.,LEWAN,CO,P.O. Box 22855,"LEWAN; 1400 South Colorado Blvd.; P.O. Box 22855; Denver, CO 80222",NET 30 DAYS,,,Denver,
,60611,(312) 664-8200,67350,67350,980 North Michigan Ave Ste 400,LEVY RESTAURANTS,IL,,"LEVY RESTAURANTS; 980 North Michigan Ave Ste 400; Chicago, IL 60611",NET 30 DAYS,,Denise Gaffney,Chicago,
,50316-3531,,2269,2269,1434 DES MOINES ST,LETTY'S BEAUTY SHOP,IA,,"LETTY'S BEAUTY SHOP; 1434 DES MOINES ST; DES MOINES, IA 50316-3531",NET 30 DAYS,,Leticia Ortiz,DES MOINES,
,60640,(773) 878-7340,67300,67300,5419 N. Sheridan Rd.,LETTUCE ENTERTAIN YOU ENTERPRI,IL,,"LETTUCE ENTERTAIN YOU ENTERPRI; 5419 N. Sheridan Rd.; Chicago, IL 60640",NET 30 DAYS,,,Chicago,
,50321,,4226,4226,C/O 5130 PARK AVE.,LETTER K,IA,,"LETTER K; C/O 5130 PARK AVE.; DES MOINES, IA 50321",NET 30 DAYS,,,DES MOINES,
,50312,(515) 274-9271,67250,67250,3106 Ingersoll Ave.,LESSING-FLYNN ADVERTISING,IA,,"LESSING-FLYNN ADVERTISING; 3106 Ingersoll Ave.; Des Moines, IA 50312",NET 30 DAYS,,,Des Moines,
,45459,,3136,3136,501 SUNNYCLIFF PLACE,LESLIE MAHAN,OH,,"LESLIE MAHAN; 501 SUNNYCLIFF PLACE; DAYTON, OH 45459",NET 30 DAYS,,,DAYTON,
,50316,515 263 0422,3586,3586,3010 YORK ST.,LEONARD TINKER HEATING,IA,,"LEONARD TINKER HEATING; 3010 YORK ST.; DES MOINES, IA 50316",NET 30 DAYS,,Leonard Tinker,DES MOINES,
Kent Reed,68022,402-321-6512,4286,4286,SUITE 202,LEONARD MANAGEMENT,NE,1408 VETERAN'S DR.,"LEONARD MANAGEMENT; SUITE 202; 1408 VETERAN'S DR.; ELKHORN, NE 68022",NET 30 DAYS,,,ELKHORN,
,68114-4039,(402) 391-8111,67200,67200,8600 Indian Hills Drive,LEO A DALY,NE,,"LEO A DALY; 8600 Indian Hills Drive; Omaha, NE 68114-4039",NET 30 DAYS,,,Omaha,
Jeff Fye,50325,,6310,6310,2180 NW 142ND ST.,LIVING FAITH LUTHERAN CHURCH,IA,,"LIVING FAITH LUTHERAN CHURCH; 2180 NW 142ND ST.; CLIVE, IA 50325",NET 30 DAYS,,,CLIVE,
Jeff Fye,50325,,5506,5506,13375 UNIVERSITY AVE.,LIVEWELL CLINIC,IA,SUITE 201,"LIVEWELL CLINIC; 13375 UNIVERSITY AVE.; SUITE 201; CLIVE, IA 50325",NET 30 DAYS,,,CLIVE,
,50325,515-225-2080,67930,67930,2555 BERKSHIRE PARKWAY,LIVEWELL CLINIC,IA,SUITE F,"LIVEWELL CLINIC; 2555 BERKSHIRE PARKWAY; SUITE F; CLIVE, IA 50325",NET 30 DAYS,,Zachary Watkins,CLIVE,
Adam Fasselius,50265-4718,,2660,2660,130 5TH STREET,LITTLE PADDED SEATS,IA,,"LITTLE PADDED SEATS; 130 5TH STREET; WEST DES MOINES, IA 50265-4718",NET 30 DAYS,,,WEST DES MOINES,
Joe Phillips,50021,515-963-0500,2567,2567,205 S.E. ORALABOR ROAD,LITTLE ENDEAVORS,IA,,"LITTLE ENDEAVORS; 205 S.E. ORALABOR ROAD; ANKENY, IA 50021",NET 30 DAYS,,Amy George,ANKENY,
Mike Ericson,50265,,2699,2699,1220 GRAND AVE.,LITTLE CAESAR'S,IA,,"LITTLE CAESAR'S; 1220 GRAND AVE.; WEST DES MOINES, IA 50265",NET 30 DAYS,,,WEST DES MOINES,
,48201-3400,(313) 983-6000,67950,67950,2211 WOODWARD AVE.,"LITTLE CAESAR ENTERPRISES, I",MI,,"LITTLE CAESAR ENTERPRISES, I; 2211 WOODWARD AVE.; DETROIT, MI 48201-3400",NET 30 DAYS,,,DETROIT,
,97501,(541) 776-6899,67900,67900,360 E. Jackson St.,"LITHIA MOTORS, INC.",OR,,"LITHIA MOTORS, INC.; 360 E. Jackson St.; Medford, OR 97501",NET 30 DAYS,,,Medford,
Jeff Fye,50111,,5971,5971,1500 SE 19TH ST.,LINZ ELECTRIC,IA,SUITE 205,"LINZ ELECTRIC; 1500 SE 19TH ST.; SUITE 205; GRIMES, IA 50111",NET 30 DAYS,,George Susral,GRIMES,
,7015,(973) 778-1300,67800,67800,6 Brighton Rd.,LINENS N THINGS,NJ,,"LINENS N THINGS; 6 Brighton Rd.; Clifton, NJ 7015",NET 30 DAYS,,,Clifton,
,92707,800-831-3232,67850,67850,2400 S. Garnsey St.,LINE-X CORP.,CA,,"LINE-X CORP.; 2400 S. Garnsey St.; Santa Ana, CA 92707",NET 30 DAYS,,,Santa Ana,
,50047,,4175,4175,1000 VETERANS MEMORIAL DR.,"LINDAMAN ENTERPRISES, INC.",IA,,"LINDAMAN ENTERPRISES, INC.; 1000 VETERANS MEMORIAL DR.; CARLISLE, IA 50047",NET 30 DAYS,,,CARLISLE,
,98124,(206) 725-0900,67750,67750,4300 S. 104th Pl.,"LINDAL CEDAR HOMES, INC.",WA,P.O. Box 24426,"LINDAL CEDAR HOMES, INC.; 4300 S. 104th Pl.; P.O. Box 24426; Seattle, WA 98124",NET 30 DAYS,,,Seattle,
Jeff Fye,50023,,5877,5877,1810 SW WHITE BIRCH CIRCLE,LINDA DONUTS,IA,,"LINDA DONUTS; 1810 SW WHITE BIRCH CIRCLE; ANKENY, IA 50023",NET 30 DAYS,,,ANKENY,
Mike Ericson,50315,,2759,2759,2400 BLOCK OF S.W. 12TH ST.,LINCOLN HIGH STADIUM CONCESSION,IA,,"LINCOLN HIGH STADIUM CONCESSION; 2400 BLOCK OF S.W. 12TH ST.; DES MOINES, IA 50315",NET 30 DAYS,,,DES MOINES,
Mike Ericson,50315,,2760,2760,P.O. BOX 36324,LINCOLN HIGH SCHOOL VISION CAMPAIGN,IA,,"LINCOLN HIGH SCHOOL VISION CAMPAIGN; P.O. BOX 36324; DES MOINES, IA 50315",NET 30 DAYS,,,DES MOINES,
,43230,(614) 415-7000,67700,67700,3 Limited Parkway,LIMITED BRANDS,OH,,"LIMITED BRANDS; 3 Limited Parkway; Columbus, OH 43230",NET 30 DAYS,,,Columbus,
Brian Thompson,50309,255-3698 x 3,3290,3290,435 E. GRAND AVENUE,LIME LOUNGE,IA,,"LIME LOUNGE; 435 E. GRAND AVENUE; DES MOINES, IA 50309",NET 30 DAYS,,George Qualley IV,DES MOINES,
Jeff Fye,50309,,5989,5989,500 E COURT AVE,LIMB LAB,IA,SUITE 190,"LIMB LAB; 500 E COURT AVE; SUITE 190; DES MOINES, IA 50309",NET 30 DAYS,,Brian Childs,DES MOINES,
,55447,,67650,67650,"2850 Vicksburg Ln., Dept. BH","LIL' ORBITS, INC.",MN,,"LIL' ORBITS, INC.; 2850 Vicksburg Ln., Dept. BH; Minneapolis, MN 55447",NET 30 DAYS,,,Minneapolis,
Joe Phillips,50309,,3448,3448,756 9TH STREET,LIL SCHOLARS PRESCHOOL,IA,,"LIL SCHOLARS PRESCHOOL; 756 9TH STREET; DES MOINES, IA 50309",NET 30 DAYS,,Marci Johnston,DES MOINES,
Joe Phillips,50211,,5585,5585,2201 SUNSET DRIVE,LIL SCHOLARS LEGACY,IA,,"LIL SCHOLARS LEGACY; 2201 SUNSET DRIVE; NORWALK, IA 50211",NET 30 DAYS,,Marci Johnston,NORWALK,
Joe Phillips,50111,,6228,6228,1895 SE GRIMES BLVD,LIGHTBRITE COFFEE ROASTERS,IA,SUITE 104,"LIGHTBRITE COFFEE ROASTERS; 1895 SE GRIMES BLVD; SUITE 104; GRIMES, IA 50111",NET 30 DAYS,,,GRIMES,
,50323,714 330 0595,5418,5418,11911 HICKMAN RD.,LIFETIME ATHLETIC,IA,,"LIFETIME ATHLETIC; 11911 HICKMAN RD.; URBANDALE, IA 50323",NET 30 DAYS,,David Wolfrom,URBANDALE,
,55436,,6330,6330,4938 LINCOLN DRIVE,LIFESTYLE COMMUNITIES BILLING,MN,,"LIFESTYLE COMMUNITIES BILLING; 4938 LINCOLN DRIVE; EDINA, MN 55436",NET 30 DAYS,,,EDINA,
,45263-0468,513-874-8020,68500,68500,P.O. Box 630468,LONG-STANTON MFG CO,OH,,"LONG-STANTON MFG CO; P.O. Box 630468; Cincinnati, OH 45263-0468",NET 30 DAYS,,,Cincinnati,
,94596,(925) 937-1170,68450,68450,141 N. Civic Dr.,LONG'S DRUG STORES CORP.,CA,,"LONG'S DRUG STORES CORP.; 141 N. Civic Dr.; Walnut Creek, CA 94596",NET 30 DAYS,,,Walnut Creek,
,56347,(320) 732-8226,68400,68400,221 Lake St,"LONG PRAIRIE, MN",MN,,"LONG PRAIRIE, MN; 221 Lake St; Long Prairie, MN 56347",NET 30 DAYS,,,Long Prairie,
,50317,(515) 262-4700,3727,3727,2552 E. UNIVERSITY,LONG JOHN SILVERS / A & W,IA,,"LONG JOHN SILVERS / A & W; 2552 E. UNIVERSITY; DES MOINES, IA 50317",NET 30 DAYS,,Bob Mathias,DES MOINES,
,50322,515 276 6622,4729,4729,7421 DOUGLAS,LONG JOHN SILVERS / A & W,IA,,"LONG JOHN SILVERS / A & W; 7421 DOUGLAS; DES MOINES, IA 50322",NET 30 DAYS,,Sandy,DES MOINES,
,67202,(316) 264-8899,68350,68350,"224 E. Douglas, Ste. 700",LONE STAR STEAKHOUSE & SALOON%,KS,,"LONE STAR STEAKHOUSE & SALOON%; 224 E. Douglas, Ste. 700; Wichita, KS 67202",NET 30 DAYS,,,Wichita,
,98109,(206) 270-5300,68300,68300,"1700 Westlake Ave. North, St","LONDON FOG INDUSTRIES, INC.",WA,,"LONDON FOG INDUSTRIES, INC.; 1700 Westlake Ave. North, St; Seattle, WA 98109",NET 30 DAYS,,,Seattle,
Brian Thompson,80206,303-718-0067,68250,68250,231 Milwaukee St Ste 2000,LOLLILOCKS KIDS SALON,CO,,"LOLLILOCKS KIDS SALON; 231 Milwaukee St Ste 2000; Denver, CO 80206",NET 30 DAYS,,,Denver,
,37204,(615) 885-9056,68200,68200,"3011 Armory Dr., Ste. 300","LOGAN'S RDHOUSE, INC.",TN,,"LOGAN'S RDHOUSE, INC.; 3011 Armory Dr., Ste. 300; Nashville, TN 37204",NET 30 DAYS,,,Nashville,
Joe Phillips,50316,515-262-3472,2963,2963,1731 CLEVELAND AVENUE,LOGAN PARK APARTMENTS,IA,,"LOGAN PARK APARTMENTS; 1731 CLEVELAND AVENUE; DES MOINES, IA 50316",NET 30 DAYS,,Paula MacArthur,DES MOINES,
Ryan Wolff,68117,402- 339-3900,3975,3975,6544 L. STREET,LOGAN CONTRACTORS SUPPLY - LEMBERG SIGN & LIGHTING,NE,,"LOGAN CONTRACTORS SUPPLY - LEMBERG SIGN & LIGHTING; 6544 L. STREET; OMAHA, NE 68117",NET 30 DAYS,,Mr. Hamilton Merritt,OMAHA,
,50321,285 3367,4224,4224,4001 SW 63RD ST.,LOFFREDO PRODUCE,IA,,"LOFFREDO PRODUCE; 4001 SW 63RD ST.; DES MOINES, IA 50321",NET 30 DAYS,,,DES MOINES,
Joe Phillips,50010,,4254,4254,520 SOUTH DUFF AVENUE,LOF-XPRESS OIL CHANGE,IA,,"LOF-XPRESS OIL CHANGE; 520 SOUTH DUFF AVENUE; AMES, IA 50010",NET 30 DAYS,,,AMES,
Joe Phillips,50021,,4227,4227,875 SE ORALABOR RD.,LOF-XPRESS OIL CHANGE,IA,,"LOF-XPRESS OIL CHANGE; 875 SE ORALABOR RD.; ANKENY, IA 50021",NET 30 DAYS,,Ted Sage,ANKENY,
Joe Phillips,50263,,5910,5910,250 ALICE'S ROAD,LOF-XPRESS OIL CHANGE,IA,,"LOF-XPRESS OIL CHANGE; 250 ALICE'S ROAD; WAUKEE, IA 50263",NET 30 DAYS,,Ted Sage,WAUKEE,
,30326,(404) 364-9400,68150,68150,"3445 Peachtree Rd. NE, Ste.","LODGIAN, INC.",GA,,"LODGIAN, INC.; 3445 Peachtree Rd. NE, Ste.; Atlanta, GA 30326",NET 30 DAYS,,,Atlanta,
,82644,(307) 265-0744,68100,68100,3533 W. Yellowstone,"LODAR, INC.",WY,,"LODAR, INC.; 3533 W. Yellowstone; Mills, WY 82644",NET 30 DAYS,,,Mills,
,82602,(307) 265-0744,68050,68050,PO Box 488,"LODAR, INC.",WY,,"LODAR, INC.; PO Box 488; Casper, WY 82602",NET 30 DAYS,,,Casper,
,10989,845-267-2985,4739,4739,704 EXECUTIVE BLVD,LOCATOR CORPORATION,NY,SUITE G,"LOCATOR CORPORATION; 704 EXECUTIVE BLVD; SUITE G; VALLEY COTTAGE, NY 10989",NET 30 DAYS,,,VALLEY COTTAGE,
,50322,,68000,68000,5803 Hickman Rd,LOANMAX,IA,,"LOANMAX; 5803 Hickman Rd; Des Moines, IA 50322",NET 30 DAYS,,,Des Moines,
Jeff Fye,50438,,5526,5526,2375 HWY 69,"LMS PROPERTIES, LLC",IA,,"LMS PROPERTIES, LLC; 2375 HWY 69; GARNER, IA 50438",NET 30 DAYS,,Laura Schleusner,GARNER,
,57103,,5186,5186,101 S. REID ST.,LLOYD COMPANIES,SD,SUITE 201,"LLOYD COMPANIES; 101 S. REID ST.; SUITE 201; SIOUX FALLS, SD 57103",NET 30 DAYS,,,SIOUX FALLS,
Jeff Fye,50021,,6312,6312,810 SE CORPORATE WOODS DR.,LKQ CORPORATION,IA,SUITE 120,"LKQ CORPORATION; 810 SE CORPORATE WOODS DR.; SUITE 120; ANKENY, IA 50021",NET 30 DAYS,,,ANKENY,
,50703,,6235,6235,141 CENTER ST,LJ'S WELDING SUPPLY,IA,,"LJ'S WELDING SUPPLY; 141 CENTER ST; WATERLOO, IA 50703",NET 30 DAYS,,,WATERLOO,
Kent Reed,50322,515-278-5286 Ext 117,4928,4928,2600 111TH ST,LIVING HISTORY FARMS,IA,,"LIVING HISTORY FARMS; 2600 111TH ST; URBANDALE, IA 50322",NET 30 DAYS,,Jennie Deerr,URBANDALE,
Joe Phillips,50309,515-243-1115,2177,2177,420 E LOCUST,LUCCA,IA,,"LUCCA; 420 E LOCUST; DES MOINES, IA 50309",1% 10th of month net eom,,,DES MOINES,
,77041,713-744-4135,2891,2891,14902 SUMMERMEYER,LSI GRAPHIC SOLUTIONS PLUS,TN,STE 120,"LSI GRAPHIC SOLUTIONS PLUS; 14902 SUMMERMEYER; STE 120; HOUSTON, TN 77041",NET 30 DAYS,,Chuck King,HOUSTON,
Brian Thompson,50266,868-0155,3074,3074,4200 UNIVERSITY AVENUE,LS2 GROUP,IA,SUITE 304,"LS2 GROUP; 4200 UNIVERSITY AVENUE; SUITE 304; WEST DES MOINES, IA 50266",NET 30 DAYS,,Jessica Hall,WEST DES MOINES,
Ryan Wolff,50310,563-321-3263,3969,3969,3528 MERLE HAY RD.,LPI LOANS,IA,,"LPI LOANS; 3528 MERLE HAY RD.; DES MOINES, IA 50310",NET 30 DAYS,,Kurt Winter,DES MOINES,
Kent Reed,50072,515-758-9545,3813,3813,220 WEST 1ST STREET,LPB INC.,IA,,"LPB INC.; 220 WEST 1ST STREET; EARLHAM, IA 50072",NET 30 DAYS,,Dennis Boerre,EARLHAM,
Brian Thompson,50265,267-1000,69050,69050,536 S. 19th St,LOZIER HEATING & COOLING,IA,,"LOZIER HEATING & COOLING; 536 S. 19th St; West Des Moines, IA 50265",NET 30 DAYS,,,West Des Moines,
,20854,,69000,69000,11801 Prestwick Rd.,LOX OF BAGELS,MD,,"LOX OF BAGELS; 11801 Prestwick Rd.; Potomac, MD 20854",NET 30 DAYS,,,Potomac,
,50266,267-0300,68950,68950,1700 - 50th St.,LOWE'S,IA,,"LOWE'S; 1700 - 50th St.; West Des Moines, IA 50266",NET 30 DAYS,,,West Des Moines,
,28656,(336) 658-4000,68900,68900,Hwy. 268 East,LOWE'S,NC,,"LOWE'S; Hwy. 268 East; North Wilkesboro, NC 28656",NET 30 DAYS,,,North Wilkesboro,
,25801,304-253-8328,68850,68850,1907 S. Kanawha St,LOWE BROTHERS ELECTRIC,WV,,"LOWE BROTHERS ELECTRIC; 1907 S. Kanawha St; Beckley, WV 25801",NET 30 DAYS,,,Beckley,
Adam Fasselius,50317,515-263-9260,5355,5355,1258 E. 14TH ST.,LOW COST SPAY CLINIC,IA,,"LOW COST SPAY CLINIC; 1258 E. 14TH ST.; DES MOINES, IA 50317",NET 30 DAYS,,,DES MOINES,
Rich Thompson,50317,515 263 9260,5344,5344,1258 E 14TH ST,LOW COST SPAY CLINIC,IA,,"LOW COST SPAY CLINIC; 1258 E 14TH ST; DSM, IA 50317",NET 30 DAYS,,,DSM,
Joe Phillips,64015,,5622,5622,201 NW 11TH ST,"LOVING CUP, LLC- DBA: SCOOTER'S COFFEE",MO,,"LOVING CUP, LLC- DBA: SCOOTER'S COFFEE; 201 NW 11TH ST; BLUE SPRINGS, MO 64015",NET 30 DAYS,,Jacob Burnett,BLUE SPRINGS,
,73126,(800) 388-0983,68800,68800,PO Box 26210,LOVE'S TRAVEL STOPS & COUNTRY,OK,,"LOVE'S TRAVEL STOPS & COUNTRY; PO Box 26210; Oklahoma City, OK 73126",NET 30 DAYS,,,Oklahoma City,
,68504,,4921,4921,3500 CLEVELAND AVE. #2,LOVE SIGNS,NE,,"LOVE SIGNS; 3500 CLEVELAND AVE. #2; LINCOLN, NE 68504",NET 30 DAYS,,,LINCOLN,
,68701,,6181,6181,1805 S 13TH,LOVE SIGNS,NE,,"LOVE SIGNS; 1805 S 13TH; NORFOLK, NE 68701",NET 30 DAYS,,,NORFOLK,
,50266,920-450-6181,68750,68750,101 Jordan Creek Town Center S,LOVE SAC,IA,,"LOVE SAC; 101 Jordan Creek Town Center S; West Des Moines, IA 50266",NET 30 DAYS,,,West Des Moines,
,44210-0808,(330) 659-3161,68700,68700,2138 N. Cleveland-Massillon Rd,LOUIS & PARTNERS DESIGN,OH,P.O. Box 808,"LOUIS & PARTNERS DESIGN; 2138 N. Cleveland-Massillon Rd; P.O. Box 808; Bath, OH 44210-0808",NET 30 DAYS,,,Bath,
,50322,,3934,3934,7011 DOUGLAS AVE,LOUD & CLEAR HEARING,IA,,"LOUD & CLEAR HEARING; 7011 DOUGLAS AVE; URBANDALE, IA 50322",NET 30 DAYS,,Emad Shenouda,URBANDALE,
,50263,515 321 9067,5230,5230,63 NE CAREFREE LANE,LOS TRES AMIGOS MEXICAN RESTAURANT,IA,,"LOS TRES AMIGOS MEXICAN RESTAURANT; 63 NE CAREFREE LANE; WAUKEE, IA 50263",NET 30 DAYS,,,WAUKEE,
,67212,(316) 263-9881,68650,68650,130 Laurel,LOS DIAS,KS,,"LOS DIAS; 130 Laurel; Wichita, KS 67212",NET 30 DAYS,,,Wichita,
,67211,(316) 263-9881,68600,68600,130 Laurel,LOS DIAS,KS,,"LOS DIAS; 130 Laurel; Wichita, KS 67211",NET 30 DAYS,,,Wichita,
,50266,515-988-4233,68550,68550,5465 Mills Civic Parkway Ste 1,LOS CABOS,IA,,"LOS CABOS; 5465 Mills Civic Parkway Ste 1; West Des Moines, IA 50266",NET 30 DAYS,,,West Des Moines,
,50265,515-222-2528,2263,2263,405 36TH STREET,LORI BENTS,IA,,"LORI BENTS; 405 36TH STREET; WEST DES MOINES, IA 50265",1% 10th of month net eom,,Lori Bents,WEST DES MOINES,
,90601,,5283,5283,12226 COAST DR.,LOREN INDUSTRIES,CA,,"LOREN INDUSTRIES; 12226 COAST DR.; WHITTIER, CA 90601",NET 30 DAYS,,,WHITTIER,
,29072,865-745-1754,2870,2870,224 INDUSTERIAL DRIVE,MAGNA SIGN INTERNATIONAL,SC,,"MAGNA SIGN INTERNATIONAL; 224 INDUSTERIAL DRIVE; LEXINGTON, SC 29072",NET 30 DAYS,,Phyllis Wright,LEXINGTON,
,21044,(410) 740-2100,69700,69700,10025 Governor Warfield Pkwy.%,MAGGIEMOO'S INTERNATIONAL,MD,,"MAGGIEMOO'S INTERNATIONAL; 10025 Governor Warfield Pkwy.%; Columbia, MD 21044",NET 30 DAYS,,,Columbia,
Jeff Fye,50273,515 462 2373,5597,5597,300 W HUTCHINGS ST.,MADISON COUNTY HEALTH CARE SYSTEM,IA,2154,"MADISON COUNTY HEALTH CARE SYSTEM; 300 W HUTCHINGS ST.; 2154; WINTERSET, IA 50273",NET 30 DAYS,Government agency non profit.,,WINTERSET,
Joe Phillips,50266,515-783-8184,3186,3186,1751 28TH STREET,MADHAT BALLROOM.COM,IA,SUITE 312 GOVERNORS SQUARE,"MADHAT BALLROOM.COM; 1751 28TH STREET; SUITE 312 GOVERNORS SQUARE; WEST DES MOINES, IA 50266",NET 30 DAYS,,Jennifer Malcom-Brown,WEST DES MOINES,
